ID,Name,Description,Type,Created,Updated,Datasets,Total Images,Labeled Images,Unlabeled Images,Annotations
1,gevis,,segmentation,2025-06-17 12:00:38,2025-06-17 12:00:38,6,10,9,1,17
3,MASMAC-O-RING,,segmentation,2025-09-23 10:31:33,2025-09-23 10:31:33,1,9,9,0,82
5,cuffia-ext,,segmentation,2025-09-25 07:23:55,2025-09-25 07:23:55,1,6,6,0,28
6,cuffia-int,,segmentation,2025-09-25 10:15:27,2025-09-25 10:15:27,1,6,6,0,41
7,Sensore di Forza external,,segmentation,2025-09-29 12:09:41,2025-09-29 12:09:41,2,22,22,0,98
8,Sensore di Forza internal,,segmentation,2025-09-29 13:26:21,2025-09-29 13:26:21,4,26,22,4,88
9,multi-label-project,,segmentation,2026-04-05 07:00:30,2026-04-05 07:00:30,4,605,605,0,1955
10,POWER,,segmentation,2026-04-08 09:38:04,2026-04-08 09:38:04,5,15,15,0,38
11,discs-sahi,,segmentation,2026-04-28 14:33:29,2026-04-28 14:33:29,2,20,20,0,45
12,disk,,segmentation,2026-05-18 06:24:39,2026-05-18 06:24:39,6,185,147,38,488
